ROWID,UNITID,OPEID,opeid6,INSTNM,CITY,STABBR,INSTURL
49,102067,569100,5691,Shelton State Community College,Tuscaloosa,AL,http://cdn-payscale.com/content/school_logos/Auburn%20University%20-%20Montgomery_200px.jpg
50,102076,103800,1038,Snead State Community College,Boaz,AL,http://cdn-payscale.com/content/school_logos/Auburn%20University%20-%20Montgomery_200px.jpg
51,102094,105700,1057,University of South Alabama,Mobile,AL,http://bookstore.bsc.edu/outerweb/product_images/10178645l.jpg
52,102234,104100,1041,Spring Hill College,Mobile,AL,http://www.meridys.com/images/stories/logos/cvcclogo.png
53,102261,2270400,22704,Southeastern Bible College,Birmingham,AL,http://www.collegeatlas.org/wp-content/uploads/2014/04/concordia-college-selma.jpg
54,102270,104400,1044,Stillman College,Tuscaloosa,AL,http://open-site.org/img/logos/101116.jpg
55,102298,104600,1046,Talladega College,Talladega,AL,http://www.brandsoftheworld.com/sites/default/files/styles/logo-thumbnail/public/082014/enterprise_state_community_college.jpg?itok=QxPCPadw
56,102313,573400,5734,H Councill Trenholm State Technical College,Montgomery,AL,https://media.licdn.com/mpr/mpr/shrink_200_200/p/4/005/09c/0e9/0dec2e2.png
57,102368,104700,1047,Troy University,Troy,AL,http://www.brandsoftheworld.com/sites/default/files/styles/logo-thumbnail/public/0013/2470/brand.gif?itok=fJUCDuj11
58,10236801,104703,1047,Troy University-Phenix City Campus,Phenix City,AL,http://www.weisradio.com/wp-content/uploads/2013/05/GSCC-Logo.jpg
59,10236802,104755,1047,Troy University-Montgomery Campus,Montgomery,AL,https://s2.graphiq.com/sites/default/files/10/media/images/t2/New_Beginning_College_of_Cosmetology_1384436.png
